piece	type	name	cat	weight	img	x	y	z
122c02assy3	B	Plate, Modified 2 x 2 with Wheels White, with Black Tires Offset Tread Medium (122c02 / 4084)	532	3.42	http://www.bricklink.com/PL/122c02assy3	\N	\N	\N
1468stk01	B	Sticker for Set 1468	160	\N	http://www.bricklink.com/PL/1468stk01	\N	\N	\N
1469stk01	B	Sticker for Set 1469	160	\N	http://www.bricklink.com/PL/1469stk01	\N	\N	\N
1490stk01	B	Sticker for Set 1490 - (160205)	160	\N	http://www.bricklink.com/PL/1490stk01	\N	\N	\N
14pb01	B	Road Sign Round with Gray End Of No Overtaking Pattern	98	0.95	http://www.bricklink.com/PL/14pb01	\N	\N	\N
14pb02	B	Road Sign Round with Gray End Of Maximum Speed 40 Pattern	98	0.95	http://www.bricklink.com/PL/14pb02	\N	\N	\N
14pb04	B	Road Sign Round with 40 Pattern	98	0.95	http://www.bricklink.com/PL/14pb04	\N	\N	\N
14pb05	B	Road Sign Round with No Overtaking Pattern	98	0.95	http://www.bricklink.com/PL/14pb05	\N	\N	\N
1516cdb01	B	Paper, Cardboard Backdrop for Set 1516, Fabuland Theater Pattern	246	\N	http://www.bricklink.com/PL/1516cdb01	\N	\N	\N
1552.1stk01	B	Sticker for Set 1552-1 - Sheet 1, Maersk Line Name and Star (191075)	160	\N	http://www.bricklink.com/PL/1552.1stk01	\N	\N	\N
1552.1stk02	B	Sticker for Set 1552-1 - Sheet 2, Transport Stickers (191076)	160	\N	http://www.bricklink.com/PL/1552.1stk02	\N	\N	\N
1554stk01	B	Sticker for Set 1554 - (191485)	160	\N	http://www.bricklink.com/PL/1554stk01	\N	\N	\N
1581.1stk01	B	Sticker for Set 1581-1  - &#40;192685&#41;	160	\N	http://www.bricklink.com/PL/1581.1stk01	\N	\N	\N
1589.2stk01	B	Sticker for Set 1589-2 - Breakdown Assistance (TCS Version)	160	\N	http://www.bricklink.com/PL/1589.2stk01	\N	\N	\N
1590.2stk01	B	Sticker for Set 1590-2 - (194535)	160	\N	http://www.bricklink.com/PL/1590.2stk01	\N	\N	\N
1592.1stk01	B	Sticker for Set 1592-1 - Town Square, English Version (190765)	160	\N	http://www.bricklink.com/PL/1592.1stk01	\N	\N	\N
1592.2stk01	B	Sticker for Set 1592-2 - Town Square, Dutch Version (195145)	160	\N	http://www.bricklink.com/PL/1592.2stk01	\N	\N	\N
1599stk01	B	Sticker for Set 1599 - (160715)	160	\N	http://www.bricklink.com/PL/1599stk01	\N	\N	\N
1651.2stk01	B	Sticker for Set 1651-2 - (190775)	160	\N	http://www.bricklink.com/PL/1651.2stk01	\N	\N	\N
1655stk01	B	Sticker for Set 1655 - (197345)	160	\N	http://www.bricklink.com/PL/1655stk01	\N	\N	\N
1656.2stk01	B	Sticker for Set 1656-2 - (194385)	160	\N	http://www.bricklink.com/PL/1656.2stk01	\N	\N	\N
1658stk01	B	Sticker for Set 1658 - (194396)	160	\N	http://www.bricklink.com/PL/1658stk01	\N	\N	\N
