55	129	66975088	de	KabelBW_Shop	Partner Kabelbw	1370
152	161	616992114	de	19MoJo09	Josephine Möhrle	4243
25	197	1886389620	de	CoachTuebingen	Angelika Heinrich	64
37	245	431973752	de	gutesvonhier	Gutes von Hier	40
798	1313	113376637	de	PhiloHeinz	Christian D. Heinz	878
44	9	842184072	de	MoerserSC	Moerser Sportclub	450
2737	2978	183549323	de	gumpelmaier	Wolfgang Gumpelmaier	17655
125	133	343852431	en	GabeBarrera69	simple Jack	6986
190	34	119399826	de	rn_nachrichten	Reutlinger Nachrich.	3691
8677	9653	224742805	de	seitensprung_dd	Seitensprung	46291
11	23	1960123801	de	Baecker_BW	baecker_bw	234
767	1420	125683099	en	UAEeyah	υ.α.є.є.у.α.н ~ ✿	7421
37	49	960312744	de	NeckarSTUDENT	NeckarSTUDENT	64
33	168	24057262	en	Bounc3r	W  	895
61	159	1130044850	en	BazingaBiatch13	Sydney Martinez	259
747	2001	292162463	en	Hussein_Said	Hussein Said	6196
638	616	19588549	en	exarc_net	EXARC	2370
1416	1554	348337606	nl	Reliwerk	Reliwerk	2036
10	3	275193290	de	_Biwakschachtel	Biwakschachtel	162
141	551	190213585	en	sefaeker	sefa eker	664
3177	3349	96525806	de	pinkpyramidDE	PINK PYRAMID	132448
217	355	382457328	en	Cerceee	Cerce (срце)	5549
87	135	306379689	en	jontlarson	Jonathan Larson	553
630	1005	127783167	de	ipape	Ingo Pape	196
1929	0	210843135	en	idw_online_de	idw deutsch	67926
16	119	340387328	de	jhug_	Janine Hug	49
374	111	36072962	de	TUEpedia	Stadtwiki Tübingen	884
800	116	11939332	en	schwulst	schwulst.de	3232
53	83	452437518	en	dedoid	Izawa Takemoto	31245
213	145	320812564	fr	Africafilms	Africafilms.tv	96
18	77	1697140248	ja	ryo_fukumoto_de	福本遼	200
1242	267	1305726500	fr	68ardR1gard	Salut, ça gaze ?	26518
131	205	751586856	es	raquel_998	raquel villanueva	592
39	83	1455572526	de	floburkhardt	Florian Burkhardt	154
104	180	349793842	en	BarcampsDE	Barcamps DE	412
2	8	318060083	en	_introiboad	Introibo Ad	24
87	281	89468473	es	marta_meruki	Martiruli	758
3242	3554	1211155040	de	IMTipps	IMTipps	20286
944	1103	962793026	de	ichbinBW	ichbinBW | Martin	6095
530	1869	47107651	en	spatzennest	david j k	2099
14	13	1541627461	de	FaceBorisPalmer	Face Palmer	85
30	82	769140295	es	SilOsitos	Silvetti	1517
66	27	850761290	de	jobs_zpid	jobs_zpid	1651
21	127	293719627	de	cigdemyun	cigdem	1233
738	358	283551311	en	mariabennett33	Maria Bennett	8797
320	119	1053443671	de	NeleDashinTube	Nele Wardinator ♡ 	28841
756	535	427877977	en	portefeuillefun	V.S. Schulz	6707
53	173	1611267680	de	PwiePsyche	P wie Psyche	184
28944	11	39999078	de	DB_Bahn	DB Bahn	91893
102	116	145284718	de	Espelui	Esperanza Santiago	1148
16	44	1394994109	de	butterflastic	xoxo ♥	1029
948	43	20051569	de	geaonline	gea.de	14024
21	27	789059192	de	TuebAkademie	Tübinger Akademie	108
1470	1966	57953913	de	Schokofestival	chocolART	2051
48	258	1965192840	en	discoursewins	Discourse Structure	358
1467	5	418725515	en	XingJobs	XING-JOBS	129733
6512	6681	96519823	de	sisupo	Thomas Hitzler	207573
2109	20	399488656	en	StreetArtGer	StreetArt in Germany	7646
2841	2658	494239378	de	wetterrumkucken	wetter.rumkucken.de	45356
1120	7	34567827	en	computerfutures	Computer Futures IT 	18002
9	9	1829423994	fr	photosmonde	Photos du Monde	3617
36	17	92995255	de	MusikfuerunsDE	Musikfueruns	2255
9664	1094	310433469	es	101lugares	101lugaresincreibles	5811
5411	254	60870337	en	KarinBojs	Karin Bojs	2484
122	327	1861413494	es	PaulinaAstrozaS	Paulina Astroza	703
35	34	1299838663	de	AlinaWhaaaat	Alinaaa	4424
